"Student.ID","AcadLevel","AYSemesterNo","Course.Code","Course.Name","Credit.Hours","Grade","Point","Notes","Result","datesubmitted"
"16S16347","Diploma First Year","2017 - 2018(Semester 1 )","ITIS101","Fundamentals of Information Technology",2,"C+",2.3,"","P","2019-11-13 12:42:49"
"16S16347","Diploma First Year","2017 - 2018(Semester 1 )","MATH1200","Calculus I",3,"F",0,"N","F","2019-11-13 12:42:49"
"16S16347","Diploma First Year","2017 - 2018(Semester 1 )","ITDB101","Introduction to Database",3,"C-",1.7,"","P","2019-11-13 12:42:49"
"16S16347","Diploma First Year","2017 - 2018(Semester 1 )","ENTW1100","Technical Writing I",3,"D",1,"","P","2019-11-13 12:42:49"
"16S16347","Diploma First Year","2017 - 2018(Semester 2 )","MATH1200","Calculus I",3,"F",0,"R","F","2019-11-13 12:42:49"
"16S16347","Diploma First Year","2017 - 2018(Semester 2 )","ITNT101","Computer Hardware",3,"B-",2.7,"","P","2019-11-13 12:42:49"
"16S16347","Diploma First Year","2017 - 2018(Semester 2 )","ITSE101","Programming I",3,"C+",2.3,"","P","2019-11-13 12:42:49"
"16S16347","Diploma First Year","2017 - 2018(Semester 2 )","ENTW1200","Technical Writing I I",3,"D",1,"","P","2019-11-13 12:42:49"
"16S16347","Diploma First Year","2017 - 2018(Semester 3 )","MATH1200","Calculus I",3,"C-",1.7,"R","P","2019-11-13 12:42:49"
"16S16347","Diploma First Year","2017 - 2018(Semester 3 )","ITNT102","Network Fundamentals I",2,"C-",1.7,"","P","2019-11-13 12:42:49"
"16S16347","Diploma First Year","2018 - 2019(Semester 1 )","ITIS103","Web Technologies",3,"D",1,"N","F","2019-11-13 12:42:49"
"16S16347","Diploma First Year","2018 - 2019(Semester 1 )","ITNT103","Network Fundamentals II",3,"F",0,"N","F","2019-11-13 12:42:49"
"16S16347","Diploma First Year","2018 - 2019(Semester 1 )","ITIS104","Fundamentals of Multimedia",2,"B-",2.7,"","P","2019-11-13 12:42:49"
"16S16347","Diploma First Year","2018 - 2019(Semester 1 )","ITSE102","Introduction to Operating Systems",3,"C-",1.7,"","P","2019-11-13 12:42:49"
"16S16347","Diploma First Year","2018 - 2019(Semester 2 )","ITIS103","Web Technologies",3,"B-",2.7,"R","P","2019-11-13 12:42:49"
"16S16347","Diploma First Year","2018 - 2019(Semester 2 )","ITNT103","Network Fundamentals II",3,"B",3,"R","P","2019-11-13 12:42:49"
"16S16347","Diploma Second Year","2018 - 2019(Semester 2 )","ITSY301","Introduction to Cryptography",3,"D",1,"","F","2019-11-13 12:42:49"
"16S16347","Diploma Second Year","2018 - 2019(Semester 2 )","ENGL2100","Technical Communication",3,"F",0,"N","F","2019-11-13 12:42:49"
"16S16347","Diploma Second Year","2018 - 2019(Semester 3 )","BAMG2111","Entrepreneurship",3,"B",3,"","P","2019-11-13 12:42:49"
"16S16347","Diploma First Year","2017 - 2018(Semester 1 )","ITIS101","Fundamentals of Information Technology",2,"C+",2.3,"","P","2019-11-13 12:45:20"
"16S16347","Diploma First Year","2017 - 2018(Semester 1 )","MATH1200","Calculus I",3,"F",0,"N","F","2019-11-13 12:45:20"
"16S16347","Diploma First Year","2017 - 2018(Semester 1 )","ITDB101","Introduction to Database",3,"C-",1.7,"","P","2019-11-13 12:45:20"
"16S16347","Diploma First Year","2017 - 2018(Semester 1 )","ENTW1100","Technical Writing I",3,"D",1,"","P","2019-11-13 12:45:20"
"16S16347","Diploma First Year","2017 - 2018(Semester 2 )","MATH1200","Calculus I",3,"F",0,"R","F","2019-11-13 12:45:20"
"16S16347","Diploma First Year","2017 - 2018(Semester 2 )","ITNT101","Computer Hardware",3,"B-",2.7,"","P","2019-11-13 12:45:20"
"16S16347","Diploma First Year","2017 - 2018(Semester 2 )","ITSE101","Programming I",3,"C+",2.3,"","P","2019-11-13 12:45:20"
"16S16347","Diploma First Year","2017 - 2018(Semester 2 )","ENTW1200","Technical Writing I I",3,"D",1,"","P","2019-11-13 12:45:20"
"16S16347","Diploma First Year","2017 - 2018(Semester 3 )","MATH1200","Calculus I",3,"C-",1.7,"R","P","2019-11-13 12:45:20"
"16S16347","Diploma First Year","2017 - 2018(Semester 3 )","ITNT102","Network Fundamentals I",2,"C-",1.7,"","P","2019-11-13 12:45:20"
"16S16347","Diploma First Year","2018 - 2019(Semester 1 )","ITIS103","Web Technologies",3,"D",1,"N","F","2019-11-13 12:45:20"
"16S16347","Diploma First Year","2018 - 2019(Semester 1 )","ITNT103","Network Fundamentals II",3,"F",0,"N","F","2019-11-13 12:45:20"
"16S16347","Diploma First Year","2018 - 2019(Semester 1 )","ITIS104","Fundamentals of Multimedia",2,"B-",2.7,"","P","2019-11-13 12:45:20"
"16S16347","Diploma First Year","2018 - 2019(Semester 1 )","ITSE102","Introduction to Operating Systems",3,"C-",1.7,"","P","2019-11-13 12:45:20"
"16S16347","Diploma First Year","2018 - 2019(Semester 2 )","ITIS103","Web Technologies",3,"B-",2.7,"R","P","2019-11-13 12:45:20"
"16S16347","Diploma First Year","2018 - 2019(Semester 2 )","ITNT103","Network Fundamentals II",3,"B",3,"R","P","2019-11-13 12:45:20"
"16S16347","Diploma Second Year","2018 - 2019(Semester 2 )","ITSY301","Introduction to Cryptography",3,"D",1,"","F","2019-11-13 12:45:20"
"16S16347","Diploma Second Year","2018 - 2019(Semester 2 )","ENGL2100","Technical Communication",3,"F",0,"N","F","2019-11-13 12:45:20"
"16S16347","Diploma Second Year","2018 - 2019(Semester 3 )","BAMG2111","Entrepreneurship",3,"B",3,"","P","2019-11-13 12:45:20"
"16S16347","Diploma First Year","2017 - 2018(Semester 1 )","ITIS101","Fundamentals of Information Technology",2,"C+",2.3,"","P","2019-11-13 12:52:32"
"16S16347","Diploma First Year","2017 - 2018(Semester 1 )","MATH1200","Calculus I",3,"F",0,"N","F","2019-11-13 12:52:32"
"16S16347","Diploma First Year","2017 - 2018(Semester 1 )","ITDB101","Introduction to Database",3,"C-",1.7,"","P","2019-11-13 12:52:32"
"16S16347","Diploma First Year","2017 - 2018(Semester 1 )","ENTW1100","Technical Writing I",3,"D",1,"","P","2019-11-13 12:52:32"
"16S16347","Diploma First Year","2017 - 2018(Semester 2 )","MATH1200","Calculus I",3,"F",0,"R","F","2019-11-13 12:52:32"
"16S16347","Diploma First Year","2017 - 2018(Semester 2 )","ITNT101","Computer Hardware",3,"B-",2.7,"","P","2019-11-13 12:52:32"
"16S16347","Diploma First Year","2017 - 2018(Semester 2 )","ITSE101","Programming I",3,"C+",2.3,"","P","2019-11-13 12:52:32"
"16S16347","Diploma First Year","2017 - 2018(Semester 2 )","ENTW1200","Technical Writing I I",3,"D",1,"","P","2019-11-13 12:52:32"
"16S16347","Diploma First Year","2017 - 2018(Semester 3 )","MATH1200","Calculus I",3,"C-",1.7,"R","P","2019-11-13 12:52:32"
